employee_id,original_employee_id,manager_id,first_name,last_name,department,job_title,employee_status,hire_date,termination_date,years_of_service,gender,salary,employment_status,employee_type,education_level,performance_rating,work_location,date_of_birth,age,work_shift,job_required_skills,additional_employee_skills,employee_skills,job_required_certification,employee_certification,benefits_enrollment_clean,estimated_work_experience_years
E0012,6165,E0437,Carrie,Perkins,Engineering,Land/geomatics surveyor,Terminated,5/3/2022,12/17/2023,1.6,Female,51269,Full-time,Contract,Associate Degree,3,South Blakeview,1/11/1992,34,Second Shift,Technical Design | Project Management | Problem Solving,Process Improvement,Technical Design | Project Management | Problem Solving | Process Improvement,Six Sigma Green Belt,None,Medical | Dental | Vision | Retirement,12
E0013,1366,E0334,Marcus,Wilson,IT,"Sound technician, broadcasting/film/video",Active,7/27/2021,,5,Female,116673,Contractor,Regular,Master's Degree,4,Moralesburgh,3/8/1965,61,Third Shift,Technical Support | SQL | Cybersecurity,Project Management,Technical Support | SQL | Cybersecurity | Project Management,CompTIA A+,CompTIA A+,None,39
E0014,8716,E0726,Terry,White,HR,Personal assistant,Active,1/19/2019,,7.5,Female,110707,Contractor,Regular,High School,3,South Tyler,5/26/1980,46,Third Shift,Employee Relations | Recruiting | Performance Management,Process Improvement,Employee Relations | Recruiting | Performance Management | Process Improvement,SHRM-CP,None,None,24
E0015,7239,E0344,Lisa,Wood,Engineering,Translator,Active,12/5/2019,,6.6,Non-Binary,92780,Full-time,Regular,Bachelor's Degree,5,Frankfurt,5/21/1959,67,Third Shift,Technical Design | Project Management | Problem Solving,Conflict Resolution,Technical Design | Project Management | Problem Solving | Conflict Resolution,Six Sigma Green Belt,Six Sigma Green Belt,Medical | Dental | Vision | Retirement,45
E0016,2943,E0997,Chad,Romero,HR,"Engineer, structural",On Leave,11/13/2023,,2.7,Non-Binary,57121,Part-time,Regular,PhD,4,Damonbury,9/25/1967,58,First Shift,Employee Relations | Recruiting | Performance Management,Negotiation,Employee Relations | Recruiting | Performance Management | Negotiation,SHRM-CP,None,Medical | Retirement,36
E0017,6951,E0805,Kathleen,Villa,IT,Food technologist,Active,8/21/2021,,4.9,Female,107721,Contractor,Regular,Bachelor's Degree,5,Lake Michelle,8/4/2005,20,First Shift,Technical Support | SQL | Cybersecurity,Excel,Technical Support | SQL | Cybersecurity | Excel,CompTIA A+,CompTIA A+,None,0
E0018,6903,E0354,Samuel,Wells,Finance,Geoscientist,On Leave,4/27/2022,,4.2,Male,113857,Contractor,Temporary,High School,3,Lake Sean,8/2/1965,60,First Shift,Financial Analysis | Budgeting | Excel,Communication,Financial Analysis | Budgeting | Excel | Communication,Financial Modeling Certification,None,None,38
E0019,7931,E0199,Lori,Lewis,Finance,Warden/ranger,Active,10/29/2023,,2.7,Female,55007,Contractor,Regular,Master's Degree,1,Carriestad,11/10/1985,40,Third Shift,Financial Analysis | Budgeting | Excel,Project Management,Financial Analysis | Budgeting | Excel | Project Management,Financial Modeling Certification,Financial Modeling Certification,None,18
E0020,2850,E0945,David,Hurst,Engineering,Quantity surveyor,On Leave,2/7/2023,,3.4,Female,54429,Contractor,Regular,Bachelor's Degree,5,North Brandonhaven,1/18/1963,63,Second Shift,Technical Design | Project Management | Problem Solving,Process Improvement,Technical Design | Project Management | Problem Solving | Process Improvement,Six Sigma Green Belt,None,None,41
E0021,6741,E0677,Heather,Davis,HR,"Nurse, mental health",Terminated,11/24/2022,5/8/2024,1.5,Male,80561,Full-time,Regular,Master's Degree,2,North Calvin,8/8/1998,27,First Shift,Employee Relations | Recruiting | Performance Management,Presentation Skills,Employee Relations | Recruiting | Performance Management | Presentation Skills,SHRM-CP,SHRM-CP,Medical | Dental | Vision | Retirement,5
E0022,8555,E0326,Lisa,Warner,Engineering,Early years teacher,On Leave,3/18/2023,,3.3,Male,64271,Contractor,Temporary,Bachelor's Degree,3,North Franklinfort,8/10/1967,58,Second Shift,Technical Design | Project Management | Problem Solving,Leadership,Technical Design | Project Management | Problem Solving | Leadership,Six Sigma Green Belt,None,None,36
E0023,7574,E0902,John,Mcfarland,Engineering,Accounting technician,On Leave,11/25/2021,,4.6,Male,110926,Full-time,Contract,Associate Degree,4,Grantburgh,7/8/1998,28,Second Shift,Technical Design | Project Management | Problem Solving,Data Analysis,Technical Design | Project Management | Problem Solving | Data Analysis,Six Sigma Green Belt,Six Sigma Green Belt,Medical | Dental | Vision | Retirement,6
E0024,9451,E0284,Amber,Chambers,Marketing,Aid worker,Terminated,11/2/2020,6/4/2023,2.6,Male,116501,Part-time,Regular,PhD,3,Lake William,12/31/1971,54,Third Shift,Digital Marketing | Content Development | Market Research,Communication,Digital Marketing | Content Development | Market Research | Communication,Google Analytics Certification,None,Medical | Retirement,32
E0025,4723,E0346,Michelle,Hunter,IT,Minerals surveyor,On Leave,10/30/2019,,6.7,Female,47720,Full-time,Temporary,Master's Degree,2,Lake Melissa,3/27/1974,52,First Shift,Technical Support | SQL | Cybersecurity,Change Management,Technical Support | SQL | Cybersecurity | Change Management,CompTIA A+,CompTIA A+,Medical | Dental | Vision | Retirement,30
E0026,8841,E0195,Michael,Snyder,IT,Forensic scientist,Terminated,5/3/2023,3/13/2024,0.9,Male,108871,Part-time,Regular,High School,1,New Kelly,2/18/1976,50,Third Shift,Technical Support | SQL | Cybersecurity,Leadership,Technical Support | SQL | Cybersecurity | Leadership,CompTIA A+,None,Medical | Retirement,28
E0027,1299,E0128,Tiffany,White,Marketing,Broadcast presenter,Active,6/19/2022,,4.1,Non-Binary,59449,Full-time,Temporary,Master's Degree,4,Danielborough,12/3/1994,31,Second Shift,Digital Marketing | Content Development | Market Research,Conflict Resolution,Digital Marketing | Content Development | Market Research | Conflict Resolution,Google Analytics Certification,Google Analytics Certification,Medical | Dental | Vision | Retirement,9
E0028,7300,E0327,Crystal,Foley,Marketing,"Engineer, technical sales",Active,6/11/2022,,4.1,Male,91546,Part-time,Regular,PhD,3,Port Adamton,7/8/1988,38,Third Shift,Digital Marketing | Content Development | Market Research,Communication,Digital Marketing | Content Development | Market Research | Communication,Google Analytics Certification,None,Medical | Retirement,16
E0029,4481,E0133,Daniel,Boyd,Marketing,Land/geomatics surveyor,On Leave,2/27/2022,,4.4,Female,99149,Part-time,Contract,Associate Degree,1,Hughesport,11/14/1997,28,Third Shift,Digital Marketing | Content Development | Market Research,Excel,Digital Marketing | Content Development | Market Research | Excel,Google Analytics Certification,Google Analytics Certification,Medical | Retirement,6
E0030,9389,E0910,Stacey,Shaw,Engineering,"Conservator, furniture",Terminated,3/27/2023,11/21/2023,0.7,Non-Binary,46589,Part-time,Contract,PhD,3,West Daniel,2/16/1973,53,Second Shift,Technical Design | Project Management | Problem Solving,Negotiation,Technical Design | Project Management | Problem Solving | Negotiation,Six Sigma Green Belt,None,Medical | Retirement,31
E0031,1502,E0051,Jackie,Fox,IT,Publishing copy,Active,12/13/2019,,6.6,Male,80359,Full-time,Regular,Master's Degree,5,South Amanda,6/12/1975,51,First Shift,Technical Support | SQL | Cybersecurity,Customer Service,Technical Support | SQL | Cybersecurity | Customer Service,CompTIA A+,CompTIA A+,Medical | Dental | Vision | Retirement,29
E0032,9019,E0856,Tammy,Merritt,Marketing,Medical physicist,On Leave,8/20/2020,,5.9,Non-Binary,53546,Full-time,Contract,PhD,5,New Daniel,3/16/1975,51,First Shift,Digital Marketing | Content Development | Market Research,Customer Service,Digital Marketing | Content Development | Market Research | Customer Service,Google Analytics Certification,None,Medical | Dental | Vision | Retirement,29
E0033,7884,E0652,David,Andrews,Engineering,Public relations account executive,Active,12/21/2021,,4.6,Non-Binary,104472,Full-time,Regular,High School,2,Sarahport,3/31/2003,23,First Shift,Technical Design | Project Management | Problem Solving,Technical Writing,Technical Design | Project Management | Problem Solving | Technical Writing,Six Sigma Green Belt,Six Sigma Green Belt,Medical | Dental | Vision | Retirement,1
E0034,9309,E0479,Jason,Warren,Finance,Operations geologist,On Leave,5/31/2021,,5.1,Non-Binary,101701,Contractor,Contract,High School,3,Marystad,1/13/1979,47,Third Shift,Financial Analysis | Budgeting | Excel,Data Analysis,Financial Analysis | Budgeting | Excel | Data Analysis,Financial Modeling Certification,None,None,25
E0035,8043,E0631,Jennifer,Griffin,IT,"Production designer, theatre/television/film",On Leave,6/6/2023,,3.1,Male,95624,Contractor,Contract,High School,3,North Conniefurt,5/25/1979,47,Second Shift,Technical Support | SQL | Cybersecurity,Technical Writing,Technical Support | SQL | Cybersecurity | Technical Writing,CompTIA A+,CompTIA A+,None,25
E0036,1629,E0815,Daniel,Hughes,Engineering,Education administrator,On Leave,7/27/2020,,6,Male,47248,Full-time,Temporary,Master's Degree,2,East James,9/20/1983,42,Second Shift,Technical Design | Project Management | Problem Solving,Coaching,Technical Design | Project Management | Problem Solving | Coaching,Six Sigma Green Belt,None,Medical | Dental | Vision | Retirement,20
E0037,3015,E0392,Angela,Johnson,Engineering,Garment/textile technologist,On Leave,1/2/2019,,7.5,Female,55501,Full-time,Temporary,High School,5,Port Daniel,1/7/2000,26,Second Shift,Technical Design | Project Management | Problem Solving,Technical Writing,Technical Design | Project Management | Problem Solving | Technical Writing,Six Sigma Green Belt,Six Sigma Green Belt,Medical | Dental | Vision | Retirement,4
E0038,2807,E0838,Kayla,Jones,IT,Visual merchandiser,On Leave,10/18/2021,,4.7,Male,60016,Contractor,Regular,Associate Degree,2,Lake Laura,7/13/1998,28,Second Shift,Technical Support | SQL | Cybersecurity,Conflict Resolution,Technical Support | SQL | Cybersecurity | Conflict Resolution,CompTIA A+,None,None,6
E0039,9320,E0196,Andrew,Stewart,Marketing,Chief Strategy Officer,On Leave,6/20/2022,,4.1,Female,104483,Part-time,Temporary,Associate Degree,4,East Lindamouth,7/14/1999,27,First Shift,Digital Marketing | Content Development | Market Research,Project Management,Digital Marketing | Content Development | Market Research | Project Management,Google Analytics Certification,Google Analytics Certification,Medical | Retirement,5
E0040,4998,E0131,Russell,Miller,Engineering,Writer,Terminated,5/31/2021,4/15/2025,3.9,Female,69299,Full-time,Temporary,Master's Degree,1,North Aimeeshire,6/13/1963,63,Third Shift,Technical Design | Project Management | Problem Solving,Customer Service,Technical Design | Project Management | Problem Solving | Customer Service,Six Sigma Green Belt,None,Medical | Dental | Vision | Retirement,41
E0041,6095,E0100,Anthony,Horton,Finance,Automotive engineer,Terminated,10/17/2022,12/6/2025,3.1,Male,97515,Full-time,Contract,Bachelor's Degree,3,Millerfort,3/3/1964,62,First Shift,Financial Analysis | Budgeting | Excel,Communication,Financial Analysis | Budgeting | Excel | Communication,Financial Modeling Certification,Financial Modeling Certification,Medical | Dental | Vision | Retirement,40
E0042,7291,E0631,Carlos,Baker,IT,Cartographer,On Leave,12/14/2022,,3.6,Male,96711,Part-time,Regular,PhD,5,North Richard,6/17/1963,63,Third Shift,Technical Support | SQL | Cybersecurity,Leadership,Technical Support | SQL | Cybersecurity | Leadership,CompTIA A+,None,Medical | Retirement,41
E0043,4887,E0230,Nicholas,Carter,HR,Warehouse manager,Active,9/20/2021,,4.8,Male,85127,Contractor,Regular,Bachelor's Degree,3,West Angela,2/19/1964,62,First Shift,Employee Relations | Recruiting | Performance Management,Presentation Skills,Employee Relations | Recruiting | Performance Management | Presentation Skills,SHRM-CP,SHRM-CP,None,40
E0044,4555,E0614,Paul,Thomas,IT,Technical sales engineer,On Leave,10/27/2023,,2.7,Non-Binary,115450,Part-time,Contract,Bachelor's Degree,2,Tinahaven,6/7/1980,46,First Shift,Technical Support | SQL | Cybersecurity,Presentation Skills,Technical Support | SQL | Cybersecurity | Presentation Skills,CompTIA A+,None,Medical | Retirement,24
E0045,4469,E0161,Todd,Haynes,Marketing,Psychiatric nurse,Active,4/1/2021,,5.3,Non-Binary,61091,Contractor,Regular,Associate Degree,1,New Samuel,1/24/1962,64,Second Shift,Digital Marketing | Content Development | Market Research,Change Management,Digital Marketing | Content Development | Market Research | Change Management,Google Analytics Certification,Google Analytics Certification,None,42
E0046,9134,E0398,Mark,Vance,Finance,Fine artist,Active,5/31/2021,,5.1,Male,116191,Contractor,Contract,Master's Degree,5,Priceport,1/4/1980,46,Third Shift,Financial Analysis | Budgeting | Excel,Project Management,Financial Analysis | Budgeting | Excel | Project Management,Financial Modeling Certification,None,None,24
E0047,9091,E0096,Zachary,Graves,Finance,Investment analyst,On Leave,11/15/2019,,6.7,Male,83404,Full-time,Regular,Associate Degree,3,Lake Johnchester,1/3/1975,51,First Shift,Financial Analysis | Budgeting | Excel,Strategic Planning,Financial Analysis | Budgeting | Excel | Strategic Planning,Financial Modeling Certification,Financial Modeling Certification,Medical | Dental | Vision | Retirement,29
E0048,1133,E0645,Kevin,Atkins,IT,Public house manager,Active,1/2/2021,,5.5,Male,68518,Full-time,Regular,Master's Degree,4,Torresstad,11/8/1971,54,Second Shift,Technical Support | SQL | Cybersecurity,Negotiation,Technical Support | SQL | Cybersecurity | Negotiation,CompTIA A+,None,Medical | Dental | Vision | Retirement,32
E0049,5439,E0284,Timothy,Chaney,Marketing,Phytotherapist,Terminated,7/24/2021,2/17/2022,0.6,Female,118203,Part-time,Temporary,Master's Degree,4,Wolffurt,8/30/1996,29,Third Shift,Digital Marketing | Content Development | Market Research,Presentation Skills,Digital Marketing | Content Development | Market Research | Presentation Skills,Google Analytics Certification,Google Analytics Certification,Medical | Retirement,7
E0050,5073,E0880,James,Cole,Finance,Sub,Active,11/10/2020,,5.7,Non-Binary,90398,Contractor,Regular,PhD,4,Kathleenville,3/25/1995,31,Third Shift,Financial Analysis | Budgeting | Excel,Technical Writing,Financial Analysis | Budgeting | Excel | Technical Writing,Financial Modeling Certification,None,None,9
E0051,1994,E0614,Antonio,Nixon,IT,Chief Strategy Officer,Active,9/9/2020,,5.8,Non-Binary,113585,Contractor,Contract,High School,4,Christopherland,6/10/1961,65,First Shift,Technical Support | SQL | Cybersecurity,Process Improvement,Technical Support | SQL | Cybersecurity | Process Improvement,CompTIA A+,CompTIA A+,None,43
E0052,4894,E0783,Brittney,Foster,IT,"Teacher, English as a foreign language",Active,11/29/2018,,7.6,Male,101665,Part-time,Contract,PhD,1,North Heather,2/12/1959,67,Second Shift,Technical Support | SQL | Cybersecurity,Coaching,Technical Support | SQL | Cybersecurity | Coaching,CompTIA A+,None,Medical | Retirement,45
E0053,9267,E0416,Christopher,Christensen,Finance,Video editor,Terminated,4/12/2022,9/2/2025,3.4,Non-Binary,103552,Full-time,Contract,High School,2,East Jesus,10/21/1958,67,Third Shift,Financial Analysis | Budgeting | Excel,Technical Writing,Financial Analysis | Budgeting | Excel | Technical Writing,Financial Modeling Certification,Financial Modeling Certification,Medical | Dental | Vision | Retirement,45
E0054,6716,E0471,Valerie,Gonzalez,IT,Secretary/administrator,Terminated,4/30/2019,2/21/2024,4.8,Female,61667,Part-time,Temporary,High School,4,West Karenfort,6/25/1999,27,Third Shift,Technical Support | SQL | Cybersecurity,Communication,Technical Support | SQL | Cybersecurity | Communication,CompTIA A+,None,Medical | Retirement,5
E0055,5095,E0509,Matthew,Clark,HR,"Librarian, public",On Leave,3/5/2019,,7.4,Female,81420,Part-time,Regular,Associate Degree,3,Port Jessica,10/19/1975,50,First Shift,Employee Relations | Recruiting | Performance Management,Negotiation,Employee Relations | Recruiting | Performance Management | Negotiation,SHRM-CP,SHRM-CP,Medical | Retirement,28
E0056,7663,E0453,Amanda,Nichols,Engineering,Dance movement psychotherapist,On Leave,2/27/2020,,6.4,Female,86793,Full-time,Regular,PhD,4,Rodriguezburgh,8/27/1981,44,First Shift,Technical Design | Project Management | Problem Solving,Coaching,Technical Design | Project Management | Problem Solving | Coaching,Six Sigma Green Belt,None,Medical | Dental | Vision | Retirement,22
E0057,8623,E0029,Brittany,Lee,Marketing,Restaurant manager,Terminated,5/14/2019,10/21/2019,0.4,Non-Binary,74417,Contractor,Regular,Bachelor's Degree,1,Amymouth,6/5/1982,44,First Shift,Digital Marketing | Content Development | Market Research,Conflict Resolution,Digital Marketing | Content Development | Market Research | Conflict Resolution,Google Analytics Certification,Google Analytics Certification,None,22
E0058,7050,E0713,Ryan,Baker,Finance,Licensed conveyancer,Terminated,1/2/2023,4/3/2023,0.2,Male,117509,Full-time,Regular,PhD,5,Port Christopher,8/17/1964,61,First Shift,Financial Analysis | Budgeting | Excel,Public Speaking,Financial Analysis | Budgeting | Excel | Public Speaking,Financial Modeling Certification,None,Medical | Dental | Vision | Retirement,39
E0059,8606,E0122,Joshua,Krueger,Finance,Early years teacher,Terminated,3/20/2023,10/27/2023,0.6,Non-Binary,47888,Contractor,Contract,PhD,5,Hendersonburgh,12/4/1970,55,Third Shift,Financial Analysis | Budgeting | Excel,Presentation Skills,Financial Analysis | Budgeting | Excel | Presentation Skills,Financial Modeling Certification,Financial Modeling Certification,None,33
E0060,6473,E0363,Dwayne,Owens,HR,"Accountant, chartered management",Terminated,8/24/2022,12/14/2023,1.3,Female,77255,Part-time,Regular,High School,5,East Brittanychester,9/2/2003,22,Second Shift,Employee Relations | Recruiting | Performance Management,Customer Service,Employee Relations | Recruiting | Performance Management | Customer Service,SHRM-CP,None,Medical | Retirement,0
E0061,5424,E0820,Sarah,Carrillo,Marketing,Oceanographer,Terminated,8/10/2019,4/18/2022,2.7,Female,91586,Part-time,Temporary,Master's Degree,1,North Daltonstad,2/9/1990,36,First Shift,Digital Marketing | Content Development | Market Research,Negotiation,Digital Marketing | Content Development | Market Research | Negotiation,Google Analytics Certification,Google Analytics Certification,Medical | Retirement,14
E0062,2099,E0667,Eric,Black,Marketing,Licensed conveyancer,Terminated,1/5/2019,10/4/2024,5.7,Female,87241,Contractor,Temporary,Associate Degree,4,East Cassie,8/26/1984,41,Third Shift,Digital Marketing | Content Development | Market Research,Presentation Skills,Digital Marketing | Content Development | Market Research | Presentation Skills,Google Analytics Certification,None,None,19
E0063,9806,E0605,Michael,Carr,Finance,Oceanographer,Terminated,3/31/2023,6/23/2023,0.2,Non-Binary,89621,Contractor,Contract,Associate Degree,1,North Jeffmouth,12/26/1983,42,Second Shift,Financial Analysis | Budgeting | Excel,Process Improvement,Financial Analysis | Budgeting | Excel | Process Improvement,Financial Modeling Certification,Financial Modeling Certification,None,20
E0064,4248,E0508,Nathan,Jones,Marketing,"Teacher, primary school",Active,11/16/2021,,4.7,Female,96565,Full-time,Temporary,Associate Degree,4,Bethfurt,7/31/1969,56,Third Shift,Digital Marketing | Content Development | Market Research,Excel,Digital Marketing | Content Development | Market Research | Excel,Google Analytics Certification,None,Medical | Dental | Vision | Retirement,34
E0065,3434,E0397,Meagan,Murphy,HR,Learning disability nurse,Terminated,6/16/2020,10/8/2022,2.3,Male,114007,Part-time,Temporary,Associate Degree,4,Lake Wandashire,4/24/1995,31,First Shift,Employee Relations | Recruiting | Performance Management,Process Improvement,Employee Relations | Recruiting | Performance Management | Process Improvement,SHRM-CP,SHRM-CP,Medical | Retirement,9
E0066,9627,E0966,Carla,Davis,HR,Event organiser,Active,10/20/2020,,5.7,Female,45527,Contractor,Temporary,PhD,4,Nicholasberg,10/2/1964,61,Second Shift,Employee Relations | Recruiting | Performance Management,Excel,Employee Relations | Recruiting | Performance Management | Excel,SHRM-CP,None,None,39
E0067,5324,E0889,Joshua,Spencer,HR,Technical brewer,Active,8/19/2020,,5.9,Female,99501,Full-time,Temporary,High School,2,Port Daniel,12/3/1976,49,First Shift,Employee Relations | Recruiting | Performance Management,Negotiation,Employee Relations | Recruiting | Performance Management | Negotiation,SHRM-CP,SHRM-CP,Medical | Dental | Vision | Retirement,27
E0068,1321,E0726,Aaron,Kelly,HR,"Conservation officer, nature",On Leave,11/9/2020,,5.7,Female,111004,Contractor,Regular,High School,1,Anthonyside,5/12/1997,29,Third Shift,Employee Relations | Recruiting | Performance Management,Technical Writing,Employee Relations | Recruiting | Performance Management | Technical Writing,SHRM-CP,None,None,7
E0069,2878,E0889,Kimberly,Smith,HR,Psychotherapist,On Leave,5/28/2020,,6.1,Non-Binary,99497,Part-time,Contract,High School,2,Port Kevin,1/24/1988,38,First Shift,Employee Relations | Recruiting | Performance Management,Negotiation,Employee Relations | Recruiting | Performance Management | Negotiation,SHRM-CP,SHRM-CP,Medical | Retirement,16
E0070,9925,E0682,Kayla,White,Finance,Advertising account executive,Active,8/18/2021,,4.9,Female,108951,Contractor,Temporary,PhD,4,East Bradley,9/3/1978,47,Third Shift,Financial Analysis | Budgeting | Excel,Technical Writing,Financial Analysis | Budgeting | Excel | Technical Writing,Financial Modeling Certification,None,None,25
E0071,8786,E0132,Amanda,Gray,IT,Communications engineer,Active,2/6/2019,,7.4,Non-Binary,75861,Part-time,Regular,Master's Degree,1,West Natasha,3/13/1988,38,First Shift,Technical Support | SQL | Cybersecurity,Technical Writing,Technical Support | SQL | Cybersecurity | Technical Writing,CompTIA A+,CompTIA A+,Medical | Retirement,16
E0072,4243,E0029,Emily,Scott,Marketing,"Conservator, furniture",Terminated,12/4/2022,1/23/2026,3.1,Male,64805,Full-time,Regular,Master's Degree,3,South Brittany,7/14/1992,34,Third Shift,Digital Marketing | Content Development | Market Research,Coaching,Digital Marketing | Content Development | Market Research | Coaching,Google Analytics Certification,None,Medical | Dental | Vision | Retirement,12
E0073,7829,E0833,Destiny,Nguyen,Marketing,Licensed conveyancer,Active,7/23/2020,,6,Female,94176,Contractor,Temporary,Associate Degree,3,Marymouth,8/1/1980,45,First Shift,Digital Marketing | Content Development | Market Research,Communication,Digital Marketing | Content Development | Market Research | Communication,Google Analytics Certification,Google Analytics Certification,None,23
E0074,5059,E0662,Joshua,Morton,HR,IT trainer,On Leave,11/4/2020,,5.7,Non-Binary,109551,Contractor,Temporary,Bachelor's Degree,4,Lake Andreaton,8/2/2005,20,Second Shift,Employee Relations | Recruiting | Performance Management,SQL,Employee Relations | Recruiting | Performance Management | SQL,SHRM-CP,None,None,0
E0075,3878,E0556,Holly,Wu,HR,"Surveyor, land/geomatics",Terminated,11/23/2020,5/1/2023,2.4,Male,108501,Contractor,Regular,Master's Degree,3,Port William,10/17/1991,34,Second Shift,Employee Relations | Recruiting | Performance Management,Negotiation,Employee Relations | Recruiting | Performance Management | Negotiation,SHRM-CP,SHRM-CP,None,12
E0076,2884,E0801,Rebecca,King,IT,Geoscientist,On Leave,11/6/2021,,4.7,Female,97259,Part-time,Temporary,High School,1,Port Gabrielle,9/1/1958,67,Second Shift,Technical Support | SQL | Cybersecurity,Change Management,Technical Support | SQL | Cybersecurity | Change Management,CompTIA A+,None,Medical | Retirement,45
E0077,8477,E0426,Justin,Tanner,Engineering,Chartered management accountant,On Leave,7/27/2019,,7,Female,64146,Contractor,Regular,Associate Degree,1,Lake Tony,12/21/1995,30,Third Shift,Technical Design | Project Management | Problem Solving,Change Management,Technical Design | Project Management | Problem Solving | Change Management,Six Sigma Green Belt,Six Sigma Green Belt,None,8
E0078,1949,E0154,Michele,Bennett,Marketing,"Production designer, theatre/television/film",On Leave,3/31/2020,,6.3,Male,107793,Contractor,Contract,Bachelor's Degree,3,Haleville,7/2/1995,31,Second Shift,Digital Marketing | Content Development | Market Research,Process Improvement,Digital Marketing | Content Development | Market Research | Process Improvement,Google Analytics Certification,None,None,9
E0079,8064,E0505,Adam,Salazar,Marketing,Barista,On Leave,10/22/2022,,3.7,Non-Binary,63324,Contractor,Contract,Bachelor's Degree,4,Jeffreyburgh,9/18/1995,30,Second Shift,Digital Marketing | Content Development | Market Research,Customer Service,Digital Marketing | Content Development | Market Research | Customer Service,Google Analytics Certification,Google Analytics Certification,None,8
